sampleID,Mouse_ID,Genotype,Sex,Injury,Treatment,Timepoint,Project,Acetate,Propionate,Butyrate,Total_SCFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_833,833,HEMI,F,TBI,Veh,3dpi,FMT-AD,1.46286528,4.888740449,6.993457652,25.39923257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_834,834,HEMI,F,TBI,Veh,3dpi,FMT-AD,1.729215699,4.412132039,9.123849903,19.63887668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_835,835,HEMI,F,TBI,Veh,3dpi,FMT-AD,1.752342026,4.311569489,8.370310174,19.77884113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_836,836,HEMI,F,Sham,FMT,3dpi,FMT-AD,2.035596083,3.537969816,8.619648421,19.28479199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_837,837,HEMI,F,Sham,FMT,3dpi,FMT-AD,2.224498012,4.641307191,8.932814289,14.90691876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_838,838,HEMI,F,Sham,FMT,3dpi,FMT-AD,1.81596413,4.904041455,7.942730612,19.0884639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_839,839,HEMI,F,Sham,FMT,3dpi,FMT-AD,1.937270866,4.459413458,7.965385858,26.72927434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_840,840,HEMI,F,Sham,Veh,3dpi,FMT-AD,1.77516938,4.767179945,8.731973471,22.00396868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_841,841,HEMI,F,Sham,Veh,3dpi,FMT-AD,2.025115332,4.198413868,8.31761481,22.49224338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_842,842,HEMI,F,Sham,Veh,3dpi,FMT-AD,2.036747747,4.213907252,7.500879391,25.27109429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_843,843,HEMI,F,Sham,Veh,3dpi,FMT-AD,2.084894569,4.897432986,8.79985901,27.09742523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_810,810,HEMI,M,TBI,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_811,811,HEMI,M,TBI,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_812,812,HEMI,M,TBI,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_813,813,HEMI,M,TBI,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_814,814,HEMI,M,TBI,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_815,815,HEMI,M,TBI,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_816,816,HEMI,M,TBI,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_817,817,HEMI,M,TBI,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_818,818,HEMI,M,TBI,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_819,819,HEMI,M,Sham,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_820,820,HEMI,M,Sham,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_821,821,HEMI,M,Sham,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_823,823,HEMI,M,Sham,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_824,824,HEMI,M,Sham,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_825,825,HEMI,M,Sham,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_826,826,HEMI,M,Sham,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_827,827,HEMI,F,TBI,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_828,828,HEMI,F,TBI,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_829,829,HEMI,F,TBI,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_830,830,HEMI,F,TBI,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_831,831,HEMI,F,TBI,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_832,832,HEMI,F,TBI,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_833,833,HEMI,F,TBI,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_834,834,HEMI,F,TBI,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_835,835,HEMI,F,TBI,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_836,836,HEMI,F,Sham,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_837,837,HEMI,F,Sham,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_838,838,HEMI,F,Sham,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_839,839,HEMI,F,Sham,FMT,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_840,840,HEMI,F,Sham,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_841,841,HEMI,F,Sham,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_842,842,HEMI,F,Sham,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_BA_843,843,HEMI,F,Sham,Veh,Baseline,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
